时间(s),温度(°C)
1.0,32.553
1.5,36.0796
2.0,40.1672
2.5,43.8375
3.0,47.8164
3.5,51.5688
4.0,55.4858
4.5,59.2849
5.0,63.1667
5.5,66.9922
6.0,70.8542
6.5,74.6945
7.0,78.5455
7.5,82.394
8.0,86.239
8.5,90.0918
9.0,93.9337
9.5,97.7887
10.0,101.6291
10.5,105.485
11.0,109.3249
11.5,113.1811
12.0,117.021
12.5,120.877
13.0,124.7171
13.5,128.5729
14.0,132.4133
14.5,136.2687
15.0,140.1095
15.5,143.9644
16.0,147.8057
16.5,151.6602
17.0,155.502
17.5,159.356
18.0,163.1982
18.5,167.0518
19.0,170.8944
19.5,172.9839
20.0,173.0118
20.5,172.9914
21.0,173.0061
21.5,172.9957
22.0,173.0029
22.5,172.9981
23.0,173.0011
23.5,172.9994
24.0,173.0002
24.5,173.0001
25.0,172.9996
25.5,173.0005
26.0,172.9994
26.5,173.0007
27.0,172.9993
27.5,173.0008
28.0,172.9992
28.5,173.0008
29.0,172.9992
29.5,173.0007
30.0,172.9993
30.5,173.0007
31.0,172.9993
31.5,173.0006
32.0,172.9994
32.5,173.0006
33.0,172.9994
33.5,173.0005
34.0,172.9995
34.5,173.0005
35.0,172.9996
35.5,173.0004
36.0,172.9996
36.5,173.0004
37.0,172.9996
37.5,173.0003
38.0,172.9997
38.5,173.0003
39.0,172.9997
39.5,173.0003
40.0,172.9998
40.5,173.0002
41.0,172.9998
41.5,173.0002
42.0,172.9998
42.5,173.0002
43.0,172.9999
43.5,173.0001
44.0,172.9999
44.5,173.0001
45.0,172.9999
45.5,173.0001
46.0,172.9999
46.5,173.0001
47.0,173.0
47.5,173.0
48.0,173.0
48.5,173.0
49.0,173.0
49.5,173.0
50.0,173.0
50.5,173.0
51.0,173.0
51.5,173.0
52.0,173.0
52.5,173.0
53.0,173.0
53.5,172.9999
54.0,173.0001
54.5,172.9999
55.0,173.0001
55.5,172.9999
56.0,173.0001
56.5,172.9999
57.0,173.0001
57.5,172.9999
58.0,173.0001
58.5,172.9999
59.0,173.0001
59.5,172.9999
60.0,173.0001
60.5,172.9999
61.0,173.0001
61.5,172.9999
62.0,173.0001
62.5,172.9999
63.0,173.0001
63.5,172.9999
64.0,173.0001
64.5,172.9999
65.0,173.0001
65.5,172.9999
66.0,173.0001
66.5,172.9999
67.0,173.0001
67.5,172.9999
68.0,173.0001
68.5,172.9999
69.0,173.0001
69.5,172.9999
